title,desc,link,site,start date,end date,company,country,latitude,longitude,% Negative,% Neutral,% Positive,Magnitude
"Inflammatory Skin Diseases Treatment Market Demand, Recent Trends and Developments Analysis 2027 | Pfizer, Merck, AbbVie, Novartis, Boehringer Ingelheim – NeighborWebSJ",A new report on the Inflammatory Skin Diseases Treatment market provides a thorough understanding of the various factors that are impacting the dynamics of ...,news.google.com/./articles/CBMiuQFodHRwczovL25laWdoYm9yd2Vic2ouY29tL25ld3MvMzAyNjkxNy9pbmZsYW1tYXRvcnktc2tpbi1kaXNlYXNlcy10cmVhdG1lbnQtbWFya2V0LWRlbWFuZC1yZWNlbnQtdHJlbmRzLWFuZC1kZXZlbG9wbWVudHMtYW5hbHlzaXMtMjAyNy1wZml6ZXItbWVyY2stYWJidmllLW5vdmFydGlzLWJvZWhyaW5nZXItaW5nZWxoZWltL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,7.000000000000001,93.0,0.0,43.6
"Buccal Drug Delivery Market – increasing demand with Industry Professionals: Teva Pharmaceutical Industries Ltd, Pfizer Inc",A new business intelligence report released by JCMR with Global Buccal Drug Delivery Market Report has abilities to raise as the most significant market ...,news.google.com/./articles/CBMinwFodHRwczovL25laWdoYm9yd2Vic2ouY29tL25ld3MvMjk3OTI1Mi9idWNjYWwtZHJ1Zy1kZWxpdmVyeS1tYXJrZXQtaW5jcmVhc2luZy1kZW1hbmQtd2l0aC1pbmR1c3RyeS1wcm9mZXNzaW9uYWxzLXRldmEtcGhhcm1hY2V1dGljYWwtaW5kdXN0cmllcy1sdGQtcGZpemVyLWluYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,9.1,90.9,0.0,43.6
Algerian president returns from Germany after post-Covid surgery,ALGIERS: Algerian President Abdelmadjid Tebboune returned home Friday after a one-month stay in Germany for surgery following post-Covid-19 ...,news.google.com/./articles/CAIiEKq4tivJGIKt_RJaTs7d28EqGAgEKg8IACoHCAowuImhCTDYnnEwtP-NAw?hl=en-US&gl=US&ceid=US%3Aen,Arab News,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Global Growth Hormone Deficiency Market Current Trends and Technology Enhancements with Top Players -Sanofi, Abbott, TherapeuticsMD, Inc., Mithra Pharmaceuticals, Pfizer Inc., Novartis AG, Bayer AG – KSU | The Sentinel Newspaper","Data Bridge Market research released a new market study on Growth Hormone Deficiency with 100+ market data Tables, Pie Chart, Graphs & Figures spr.",news.google.com/./articles/CBMi3wFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEyL2dsb2JhbC1ncm93dGgtaG9ybW9uZS1kZWZpY2llbmN5LW1hcmtldC1jdXJyZW50LXRyZW5kcy1hbmQtdGVjaG5vbG9neS1lbmhhbmNlbWVudHMtd2l0aC10b3AtcGxheWVycy1zYW5vZmktYWJib3R0LXRoZXJhcGV1dGljc21kLWluYy1taXRocmEtcGhhcm1hY2V1dGljYWxzLXBmaXplci1pbmMtbm92YXJ0aXMtYWctYmF5ZXItYWcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,86.8,13.200000000000001,76.335
"Ocular Lymphoma Treatment Market Research & Clinical Advancements by 2028 | Novartis AG, F. Hoffmann-La Roche Ltd, Pfizer Inc – NeighborWebSJ",A new research study from JCMR with title Global Ocular Lymphoma Treatment Market Research Report 2029 provides an in-depth assessment of the Ocular ...,news.google.com/./articles/CBMipwFodHRwczovL25laWdoYm9yd2Vic2ouY29tL3VuY2F0ZWdvcml6ZWQvMjkzMjM0NS9vY3VsYXItbHltcGhvbWEtdHJlYXRtZW50LW1hcmtldC1yZXNlYXJjaC1jbGluaWNhbC1hZHZhbmNlbWVudHMtYnktMjAyOC1ub3ZhcnRpcy1hZy1mLWhvZmZtYW5uLWxhLXJvY2hlLWx0ZC1wZml6ZXItaW5jL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Global Candida Infections Drugs Market Opportunities, Global Growth, Industry Analysis with Major Vendors 2027||Abbott, Pfizer Inc., Novartis AG, Merck & Co., Inc – KSU | The Sentinel Newspaper",Candida infection drugs market is expected to gain market growth in the forecast period of 2020 to 2027. Data Bridge Market Research analyses the mark.,news.google.com/./articles/CBMiugFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEyL2dsb2JhbC1jYW5kaWRhLWluZmVjdGlvbnMtZHJ1Z3MtbWFya2V0LW9wcG9ydHVuaXRpZXMtZ2xvYmFsLWdyb3d0aC1pbmR1c3RyeS1hbmFseXNpcy13aXRoLW1ham9yLXZlbmRvcnMtMjAyN2FiYm90dC1wZml6ZXItaW5jLW5vdmFydGlzLWFnLW1lcmNrLWNvLWluYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,83.3,16.7,81.845
"Propantheline Bromide Market to witness Huge Growth with Projected Pfizer, Tablicaps, Mylan – The Bisouv Network","This report gives inside and out investigation of Propantheline Bromide Market utilizing SWOT examination for example Quality, Weakness, Opportunities and ...",news.google.com/./articles/CBMigwFodHRwczovL2Jpc291di5jb20vdW5jYXRlZ29yaXplZC8xNzM4NzM3L3Byb3BhbnRoZWxpbmUtYnJvbWlkZS1tYXJrZXQtdG8td2l0bmVzcy1odWdlLWdyb3d0aC13aXRoLXByb2plY3RlZC1wZml6ZXItdGFibGljYXBzLW15bGFuL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,The Bisouv Network,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,74.1,25.900000000000002,79.97
"Impact of COVID-19 on Nabumetone Market by 2027 |Pfizer, GlaxoSmithKline – NeighborWebSJ",Nabumetone Market research report is the new statistical data source added by A2Z Market Research. “Nabumetone Market is growing at a High CAGR during ...,news.google.com/./articles/CBMid2h0dHBzOi8vbmVpZ2hib3J3ZWJzai5jb20vdW5jYXRlZ29yaXplZC8yOTA0ODAxL2ltcGFjdC1vZi1jb3ZpZC0xOS1vbi1uYWJ1bWV0b25lLW1hcmtldC1ieS0yMDI3LXBmaXplci1nbGF4b3NtaXRoa2xpbmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Global Levothyroxine Sodium Market 2020 Latest Trends – Abbvie, IBSA, Pfizer, Mylan Pharma, Fresenius Kabi, Merck, Abbott, Novartis","Global Levothyroxine Sodium Market 2020 by Manufacturers, Regions, Type and Application, Forecast to 2025 published by MarketQuest.biz describes market ...",news.google.com/./articles/CBMilQFodHRwczovL3d3dy5tY2NvdXJpZXIuY29tL2dsb2JhbC1sZXZvdGh5cm94aW5lLXNvZGl1bS1tYXJrZXQtMjAyMC1sYXRlc3QtdHJlbmRzLWFiYnZpZS1pYnNhLXBmaXplci1teWxhbi1waGFybWEtZnJlc2VuaXVzLWthYmktbWVyY2stYWJib3R0LW5vdmFydGlzL9IBlQFodHRwczovL3d3dy5tY2NvdXJpZXIuY29tL2dsb2JhbC1sZXZvdGh5cm94aW5lLXNvZGl1bS1tYXJrZXQtMjAyMC1sYXRlc3QtdHJlbmRzLWFiYnZpZS1pYnNhLXBmaXplci1teWxhbi1waGFybWEtZnJlc2VuaXVzLWthYmktbWVyY2stYWJib3R0LW5vdmFydGlzLw?hl=en-US&gl=US&ceid=US%3Aen,The Courier,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Gastrointestinal OTC Drugs Market Major Strategies Adopted By Leading Market Companies like Bayer, GlaxoSmithKline, Johnson & Johnson, Pfizer, Perrigo, etc – KSU | The Sentinel Newspaper","Gastrointestinal OTC Drugs Market Report Coverage: Key Growth Factors & Challenges, Segmentation & Regional Outlook, Top Industry Trends & Opportunities ...",news.google.com/./articles/CBMiuAFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzExL2dhc3Ryb2ludGVzdGluYWwtb3RjLWRydWdzLW1hcmtldC1tYWpvci1zdHJhdGVnaWVzLWFkb3B0ZWQtYnktbGVhZGluZy1tYXJrZXQtY29tcGFuaWVzLWxpa2UtYmF5ZXItZ2xheG9zbWl0aGtsaW5lLWpvaG5zb24tam9obnNvbi1wZml6ZXItcGVycmlnby1ldGMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,90.9,9.1,68.06
"Anticoagulant Drugs Market Report 2021 With Strategic Expansion Over 2026 By Top Key Players: Bayer, Pfizer, Johnson & Johnson, Sanofi, Boehringer Ingelheim – KSU | The Sentinel Newspaper",Big Market Research is one of the prominent market research firms has announced a novel report on Anticoagulant Drugs Market. The report contains vita.,news.google.com/./articles/CBMiuQFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzExL2FudGljb2FndWxhbnQtZHJ1Z3MtbWFya2V0LXJlcG9ydC0yMDIxLXdpdGgtc3RyYXRlZ2ljLWV4cGFuc2lvbi1vdmVyLTIwMjYtYnktdG9wLWtleS1wbGF5ZXJzLWJheWVyLXBmaXplci1qb2huc29uLWpvaG5zb24tc2Fub2ZpLWJvZWhyaW5nZXItaW5nZWxoZWltL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,93.8,6.2,60.115
"Global Women's Health Therapeutics Market 2021-2027 Share, Volume, Revenue, and Growth Rate | Bayer AG, Pfizer, Teva Pharmaceutical, AstraZeneca, Novartis AG – KSU | The Sentinel Newspaper",Take a look at our recently released study on the Global Women's Health Therapeutics Market 2021-2027 which is a detailed research report covering the.,news.google.com/./articles/CBMitwFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzExL2dsb2JhbC13b21lbnMtaGVhbHRoLXRoZXJhcGV1dGljcy1tYXJrZXQtMjAyMS0yMDI3LXNoYXJlLXZvbHVtZS1yZXZlbnVlLWFuZC1ncm93dGgtcmF0ZS1iYXllci1hZy1wZml6ZXItdGV2YS1waGFybWFjZXV0aWNhbC1hc3RyYXplbmVjYS1ub3ZhcnRpcy1hZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,83.89999999999999,16.1,79.295
"Global Benign Prostatic Hyperplasia Therapeutics Market 2021-2027 Share, Volume, Revenue, and Growth Rate | GlaxoSmithKline plc, Merck and Co, Pfizer, Sanofi – KSU | The Sentinel Newspaper",Take a look at our recently released study on the Global Benign Prostatic Hyperplasia Therapeutics Market 2021-2027 which is a detailed research repor.,news.google.com/./articles/CBMiuQFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzExL2dsb2JhbC1iZW5pZ24tcHJvc3RhdGljLWh5cGVycGxhc2lhLXRoZXJhcGV1dGljcy1tYXJrZXQtMjAyMS0yMDI3LXNoYXJlLXZvbHVtZS1yZXZlbnVlLWFuZC1ncm93dGgtcmF0ZS1nbGF4b3NtaXRoa2xpbmUtcGxjLW1lcmNrLWFuZC1jby1wZml6ZXItc2Fub2ZpL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,77.2,22.8,86.345
"Oral Mucositis Drugs Market to Expand with Significant CAGR By 2029: 3M Healthcare, GSK, Pfizer, Colgate-Palmolive, Norgine, and others. – KSU | The Sentinel Newspaper",Oral Mucositis Drugs Market Projections (2020-2029): The Global market​ Oral Mucositis Drugs theologizes is the most recent of the world business ma.,news.google.com/./articles/CBMipQFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEwL29yYWwtbXVjb3NpdGlzLWRydWdzLW1hcmtldC10by1leHBhbmQtd2l0aC1zaWduaWZpY2FudC1jYWdyLWJ5LTIwMjktM20taGVhbHRoY2FyZS1nc2stcGZpemVyLWNvbGdhdGUtcGFsbW9saXZlLW5vcmdpbmUtYW5kLW90aGVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,84.89999999999999,15.1,73.83500000000001
"Heparin Market to Witness an Outstanding Growth by 2029: Hepalink, Changshan Pharm, Qianhong Bio-pharma, Opocrin, Pfizer, and others. – KSU | The Sentinel Newspaper",Heparin Market Projections (2020-2029) The most recent market report added by Regal Intelligence on the global Heparin market consists of the overall.,news.google.com/./articles/CBMiogFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEwL2hlcGFyaW4tbWFya2V0LXRvLXdpdG5lc3MtYW4tb3V0c3RhbmRpbmctZ3Jvd3RoLWJ5LTIwMjktaGVwYWxpbmstY2hhbmdzaGFuLXBoYXJtLXFpYW5ob25nLWJpby1waGFybWEtb3BvY3Jpbi1wZml6ZXItYW5kLW90aGVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,76.9,23.1,88.25
"Vaccine Market Next Big Thing: Major Giants Sanofi, Pfizer, Merck – NeighborWebSJ","Latest 2020 COVID Edition. HTF MI Latest publication of the “ Global Vaccine Market Report 2020 by Key Players, Types, Applications, Countries, Market Size, ...",news.google.com/./articles/CBMib2h0dHBzOi8vbmVpZ2hib3J3ZWJzai5jb20vdW5jYXRlZ29yaXplZC8yODE3NTczL3ZhY2NpbmUtbWFya2V0LW5leHQtYmlnLXRoaW5nLW1ham9yLWdpYW50cy1zYW5vZmktcGZpemVyLW1lcmNrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
The Latest: South Africa to give Johnson & Johnson vaccine - Egypt Independent,JOHANNESBURG — South Africa's health minister says the country will begin administering the unapproved Johnson & Johnson vaccine to its front-line health ...,news.google.com/./articles/CBMiVWh0dHBzOi8vZWd5cHRpbmRlcGVuZGVudC5jb20vdGhlLWxhdGVzdC1zb3V0aC1hZnJpY2EtdG8tZ2l2ZS1qb2huc29uLWpvaG5zb24tdmFjY2luZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Egypt Independent,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Global Womens Health Market 2020 Growth Analysis – Allergan, Apothecus Pharmaceutical, Pfizer, Bayer, Amgen, Merck, Blairex Laboratories, Agile Therapeutics","The market research report titled Global Womens Health Market 2020 by Company, Type and Application, Forecast to 2025 by MarketQuest.biz contains ...",news.google.com/./articles/CBMirgFodHRwczovL3d3dy5tY2NvdXJpZXIuY29tL2dsb2JhbC13b21lbnMtaGVhbHRoLW1hcmtldC0yMDIwLWdyb3d0aC1hbmFseXNpcy1hbGxlcmdhbi1hcG90aGVjdXMtcGhhcm1hY2V1dGljYWwtcGZpemVyLWJheWVyLWFtZ2VuLW1lcmNrLWJsYWlyZXgtbGFib3JhdG9yaWVzLWFnaWxlLXRoZXJhcGV1dGljcy_SAa4BaHR0cHM6Ly93d3cubWNjb3VyaWVyLmNvbS9nbG9iYWwtd29tZW5zLWhlYWx0aC1tYXJrZXQtMjAyMC1ncm93dGgtYW5hbHlzaXMtYWxsZXJnYW4tYXBvdGhlY3VzLXBoYXJtYWNldXRpY2FsLXBmaXplci1iYXllci1hbWdlbi1tZXJjay1ibGFpcmV4LWxhYm9yYXRvcmllcy1hZ2lsZS10aGVyYXBldXRpY3Mv?hl=en-US&gl=US&ceid=US%3Aen,The Courier,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,87.4,12.6,69.09
"Tel Aviv gives foreign nationals, asylum seekers COVID shots - Egypt Independent","TEL AVIV, Israel (AP) — Dozens of asylum seekers and foreign workers in the Israeli city of Tel Aviv lined up to receive their first dose of the COVID-19 vaccine ...",news.google.com/./articles/CBMiWWh0dHBzOi8vZWd5cHRpbmRlcGVuZGVudC5jb20vdGVsLWF2aXYtZ2l2ZXMtZm9yZWlnbi1uYXRpb25hbHMtYXN5bHVtLXNlZWtlcnMtY292aWQtc2hvdHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Egypt Independent,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"﻿Global Cough Medicine Market 2021 – Pfizer, GlaxoSmithKline, Sanofi, Merck, Novartis – KSU | The Sentinel Newspaper","A new market research study Global Cough Medicine Market Size, Status and Forecast 2020-2026 provides all in all compilation of the historical, curren.",news.google.com/./articles/CBMie2h0dHBzOi8va3N1c2VudGluZWwuY29tLzIwMjEvMDIvMTAvJUVGJUJCJUJGZ2xvYmFsLWNvdWdoLW1lZGljaW5lLW1hcmtldC0yMDIxLXBmaXplci1nbGF4b3NtaXRoa2xpbmUtc2Fub2ZpLW1lcmNrLW5vdmFydGlzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
Long Beach woman born as 1918 flu pandemic ended gets 2nd dose of coronavirus vaccine,A 100-year-old Long Beach woman whose life began amid the fallout from the 1918 flu pandemic has been fully vaccinated against the coronavirus — and ...,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnByZXNzdGVsZWdyYW0uY29tLzIwMjEvMDIvMDkvbG9uZy1iZWFjaC13b21hbi1ib3JuLWFzLTE5MTgtZmx1LXBhbmRlbWljLWVuZGVkLWdldHMtMm5kLWRvc2Utb2YtY29yb25hdmlydXMtdmFjY2luZdIBgwFodHRwczovL3d3dy5wcmVzc3RlbGVncmFtLmNvbS8yMDIxLzAyLzA5L2xvbmctYmVhY2gtd29tYW4tYm9ybi1hcy0xOTE4LWZsdS1wYW5kZW1pYy1lbmRlZC1nZXRzLTJuZC1kb3NlLW9mLWNvcm9uYXZpcnVzLXZhY2NpbmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,Long Beach Press Telegram,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,15.7,84.3,0.0,30.91
"Russia, China expanding Middle East sway with COVID-19 vaccines",A worker inspects syringes of a COVID vaccine produced by Sinovac at its factory in Beijing,news.google.com/./articles/CAIiELDWiCaYnEVzGolU9oXqsq4qFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-US&gl=US&ceid=US%3Aen,Al Jazeera English,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Hypocalcaemia Treatment Market Research 2021 Report | Growth Forecast to 2027 F. Hoffman La Roche, Novo Nordisk, Sanofi, GlaxoSmithKline (GSK), Pfizer Inc. – KSU | The Sentinel Newspaper","Hypocalcaemia is caused by hypoalbuminemia, hyperphosphatemia, surgical effects, medication effects, hypomagnesemia, heart failure, muscle cramps, vit.",news.google.com/./articles/CBMitQFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzA5L2h5cG9jYWxjYWVtaWEtdHJlYXRtZW50LW1hcmtldC1yZXNlYXJjaC0yMDIxLXJlcG9ydC1ncm93dGgtZm9yZWNhc3QtdG8tMjAyNy1mLWhvZmZtYW4tbGEtcm9jaGUtbm92by1ub3JkaXNrLXNhbm9maS1nbGF4b3NtaXRoa2xpbmUtZ3NrLXBmaXplci1pbmMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,91.2,8.799999999999999,69.09
Glimmer of hope: COVID-19 vaccines roll out in countries of the Eastern Mediterranean Region - Tunisia,"While 2020 was a unique and challenging year for the Eastern Mediterranean Region , 2021 has provided a glimmer of hope as vaccines for COVID - 19 are rolled out . ~© WHO",news.google.com/./articles/CAIiECzw9iBIN0P8WPDzNDibgSQqGQgEKhAIACoHCAow4OH9CjCg6_UCMJ-42gU?hl=en-US&gl=US&ceid=US%3Aen,ReliefWeb,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,83.8,16.2,72.02
